name,year
Samolyot letit v Rossiyu (1994),1994
Samostoyatelnaya zhizn (1992),1992
Samoubiytsy (2012),2012
Samye schastlivye (2005) (TV),2005
Samyy luchshiy den (2002),2002
Samyy luchshiy den! (2015),2015
Samyy luchshiy film (2008),2008
Samyy luchshiy film 2 (2009),2009
Samyy luchshiy film 3-DE (2011),2011
Samyy luchshiy prazdnik (2004) (TV),2004
Samyy luchshiy vecher (2010) (TV),2010
Samyy ryzhiy lis (2016),2016
"San Sanych nash, Kalyagin (2013)",2013
Sandali (2015),2015
Sangen reddet mitt liv (2015),2015
Sanya i Vorobey (2010),2010
Sanzhyra (2001),2001
Sapiens (2004),2004
Sar (2016),2016
Sarancha (2014),2014
Sasha (2016/I),2016
"Sasha, Lena and Iron Dragon (2014)",2014
Sashka-Seminarist (1915),1915
Sashobao dgiuri (1992),1992
Saskvoch (2012),2012
Sastrafi (2009),2009
Satana likuyushchiy (1917),1917
Satisfaktsiya (2010),2010
Save and Preserve (2011),2011
Saved by Deportation (2007),2007
Savva (1919),1919
Savva. Serdtse voina (2015),2015
Say Farewell (2013),2013
Scarecrow: The Legend Comes Alive (2012),2012
Scenes at the Sea (2015),2015
Schaste - eto... (2015),2015
Schaste bez zhertv (2013) (TV),2013
Schaste po kontraktu (2010) (TV),2010
Schaste vechnoy nochi (1915),1915
Schastlivaya pokupka (2010),2010
Schastlivogo puti (2009) (TV),2009
Schastlivyy konets (2010),2010
Schastlivyy marshrut (2013) (TV),2013
Schastlivyy neudachnik (1993),1993
Schatten ber Moskau (1990),1990
Schoolgirls Prefer Vikings (2008) (V),2008
Schors: Odin v pole tozhe voin (2016) (V),2016
Scp-087 (2015),2015
Scp-087: 5th Experiment (2015),2015
Scream at the Entrance (2016),2016
Scum (2011),2011
Sdayotsya dom so vsemi neudobstvami (2016),2016
Sdelka (2009),2009
Sdelka (2011),2011
Sdelka (2013),2013
Sdvig (2006),2006
"Sea Blind, the Price of Shipping Our Stuff (2015) (TV)",2015
Sea Dogs (2000) (VG),2000
Sea Hooligans (2006) (V),2006
Sea Madcaps (2006) (V),2006
Sea in Bambora (2014),2014
Seagull's Voice (2013),2013
Searching for Hell (2015),2015
Searching for Perfection (2013),2013
Season of Decomposition (2006),2006
Sebastian (2013/I),2013
Second Chance (2016/IV),2016
Second Chance (2016/VII),2016
Second Wind (2012) (V),2012
Secret of Slenderman 3 (2016),2016
Secret of Water (2015),2015
Sector of the Living Dead (2016) (V),2016
Sedmaya zhertva (2011) (TV),2011
Sedmoy den (2006),2006
Seducing a Stallion (2005) (V),2005
See You in Chechnya (2016),2016
Seeds of Time (2013),2013
Segodnya my postroim dom (1996),1996
Sekond layf (2014),2014
Sekret vinodeliya (1994),1994
Sekretniye knigi mira (2016) (V),2016
Sekskazka (1991),1991
Sel' (2003),2003
Selfieman: For All the Broken Hearts (2016) (V),2016
Selfing (2014),2014
Selskiy rok-n-roll (2011),2011
Seltsame Fhrung (1999) (TV),1999
Sem Ya (2012) (TV),2012
Sem dney posle ubiystva (1991),1991
Sem kabinok (2007),2007
Sem mayskikh dney (2012),2012
Sem' koshek (2015),2015
Semeyka Ady (2008),2008
Semyon (2013),2013
Seneca's Day (2016),2016
Sensatsiya (1993),1993
Sepio-film (2014) (V),2014
"September, 25 (2010)",2010
Serdtsa bumerang (2011),2011
Serdtsa tryokh-2 (1993),1993
Serdtse Parmy (2007) {{SUSPENDED}},2007
Serdtse bez zamka (2012) (TV),2012
Serdtse buri (2014),2014
Serdtse vraga (2017),2017
Serdtse zverya (2006),2006
Serebryanye golovy (1999),1999
Serezhka Kazanovy (2016) (TV),2016
Serge (2013/II),2013
Sergei verenseisauttaja (2008),2008
Sergeich 10 (2016),2016
Sergey A. Always Takes a Camera (2016),2016
Sergey Eyzenshteyn. Avtobiografiya (1996),1996
Sergey Eyzenshteyn. Meksikanskaya fantasiya (1998),1998
Sergey Shchukin. Pronitsatelnyy dikobraz (2010),2010
Serp i molot (1921),1921
Serp i molot (1994),1994
Serye volki (1993),1993
Seryoga (2012),2012
Sestryonka (2007) (TV),2007
Settler (2015),2015
Severnoye siyaniye (2001),2001
Sex and Breakfast (2012),2012
Sex in the Russian Way (1998) (V),1998
"Sex, Needles & Roubles (2004)",2004
"Sex, kofe, sigarety (2014)",2014
Sex-a-holic Lady (1995),1995
Sexy Action Accounting Myths (2015),2015
Sexy Beggars (2005) (V),2005
Sezon otkrytiy (2008),2008
Sezon tumanov (2009),2009
Sgushchenka (2014),2014
Shades of Gray (2014/I),2014
Shadow (2012/II) (V),2012
Shadow Fight 2 (2013) (VG),2013
Shadow of the Swan: A Composer's Story (2005) (V),2005
Shadows in Paradise (2010),2010
Shadows of Paradise (2016),2016
Shagal - Malevich (2014),2014
Shakhmatnoe kino (2014) (V),2014
Shaky Bridge (2005) (V),2005
Shalnaya baba (1991),1991
"Shambhala, Recovery of Ecstasy (????)",
Shans (2010),2010
Shapito-shou (2011),2011
Shatalo (2010),2010
Shatun (2001) (TV),2001
Shaving Nusia (2005) (V),2005
Shchekotlivaya situatsiya (2011),2011
Shchelchok (2013),2013
Shchenok (2009),2009
Sheep & Wolves (2016),2016
Shekspiru i ne snilos (2007),2007
Shekvarebuli kulinaris ataserti retsepti (1996),1996
Sherlock Homes: Mystery of the Stream (2016),2016
Sherlok Kholms i doktor Vatson (2005),2005
Shest pul v pistolete (2010),2010
Shik (2003),2003
Shinel (????),
Shingle Beach Shaving Pussy (????) (V),
Shipovnik (2011),2011
Shirli-myrli (1995),1995
Shish na kokuy! (1993),1993
Shiza (2004),2004
Shizofreniya (2001),2001
Shkaf s surprizom (1915),1915
Shkolnye druzya (2016),2016
Shla Sasha po shosse (2014),2014
Shlyukha (2012),2012
Shooting Masterclass (2006) (V),2006
Shoping-tur (2012),2012
Short Skirt (2011),2011
Short summer (2012),2012
Shou urodov (2010),2010
Should a Woman Tell? (1914),1914
Show dlia odinokogo muzhchiny (1994),1994
Shower Bed (????) (V),
Shpilki (2009) (TV),2009
Shpilki 2 (2009) (TV),2009
Shpilki 3 (2010) (TV),2010
Shpinoskie igry: Izluchatel smerti (2007) (TV),2007
Shpion (2012),2012
Shpionskie igri: Okhota na chernogo volka (2006) (TV),2006
Shpionskie igry: Bez prikritiya (2007) (TV),2007
Shpionskie igry: Chastny visit (2008) (TV),2008
Shpionskie igry: Chernichnyy pirog (2008) (TV),2008
Shpionskie igry: Lovushka dlya mudretsa (2006) (TV),2006
Shpionskie igry: Mest (2007) (TV),2007
Shpionskie igry: Nelegal (2004) (TV),2004
Shpionskie igry: Neofocialnaya verciya (2008) (TV),2008
Shpionskie igry: Pobeg (2008) (TV),2008
Shpionskie igry: Trinadsatiy sector (2007) (TV),2007
Shpionskie igry: Uskolzayushchaya mishen (2008) (TV),2008
Shpionskie igry: Zhivaya bomba (2008) (TV),2008
Shtormovoye preduprezhdeniye (2011),2011
Shtrafnaya (2016) (TV),2016
Shu-Chu (2009),2009
Shub-baba Lyuba! (2000),2000
Shulgan-Tash. Ysyn akiat (2014),2014
Shultes (2008),2008
Shut Balakirev (1993),1993
Shut Balakirev (2002) (TV),2002
Shut i Venera (2008) (TV),2008
Shutka angela (2004) (TV),2004
Shutochnyy tanets (1997),1997
Siberia (2009),2009
Siberia Teaches a Trans-Siberian Rail Trip Story (2011),2011
Siberian Floating Hospital (2015),2015
Siberian Horror (2016),2016
Siberian Scout Adventure (2000) (V) {{SUSPENDED}},2000
Sibir. Monamur (2011),2011
Sibirskiy spas (1998),1998
Sibirskiy tsiryulnik (1998),1998
Sibrdzne sitsruisa (1992) (TV),1992
Sick (2011) (V),2011
Sick Furry (2015),2015
Sickfuckpeople - Short Version (2011),2011
Sidab-Man (2016),2016
Sidet'v shkafu (2002),2002
Sign (2016/II),2016
Signal (1918),1918
Signora Russa (2013),2013
Sikimoku (1993),1993
Silence (2016/VII),2016
Silent Partner (2005),2005
Silent dialogue (2015),2015
Silhouette (2013),2013
Silk (2013/II),2013
"Silna, kak smert, lyubov (1997)",1997
Silnaya slabaya zhenshchina (2010) (TV),2010
Silnyi chelovek (1917),1917
Siluet v okne naprotiv (1993),1993
Silver Medal (2016),2016
Silver Sunset (2010),2010
Silver Talk (2016),2016
Simfoniya lyubvi i smerti (1914),1914
Sin (2016/III),2016
Sin neudachnika (2002) (TV),2002
Sindrom Petrushki (2015),2015
Sindy: First Shooting (2006) (V),2006
Sinee nebo. Cherniy hleb (2010),2010
Singer Who Fell (2016),2016
Sinie Kak More Glaza (2010),2010
Sira Disi Insanlar (2015),2015
Sirenevye sumerki (2000),2000
Siriyskiy dnevnik (2012),2012
Sirota kazanskaya (1997),1997
Sisters (2016/IV),2016
Six Days (2011) (V),2011
Six Hands Petting (2006) (V),2006
Six Men in the North (2015),2015
Sixteen-year-old Whiskey (2016),2016
Sizif schastliv (2012),2012
Skandal v nashem Kloshgorode (1993),1993
Skaz khotanskogo kovra (2013),2013
Skaz pro Fedota-streltsa (2002),2002
Skazanie o kreshchenii Rusi (2007) (TV),2007
Skazanie o nas s Evgeniey (2011),2011
Skazhi Leo (2008),2008
Skazhi pravdu (2012),2012
Skazka Sary (2006),2006
Skazka XXI (2009) {{SUSPENDED}},2009
Skazka morya (1915),1915
Skazka o pope Pankrate (1918),1918
Skazka pro duraka Volodyu (1995),1995
Skazka pro temnotu (2009),2009
Skazka pro yolochku (2011),2011
Skazka. Est (2012),2012
Skazki na bolote (2003),2003
Skertso diavola (1918),1918
Skhvisi sakhli (2016),2016
Skolko lap u sobaki (2014),2014
Skolzhenie (2013),2013
Skoraya pomosch (1997),1997
Skorlupa (1993),1993
Skoro v shkolu (2008) (VG),2008
Skoro vesna (2009),2009
Skoryy 'Moskva-Rossiya' (2014),2014
Skripka (2017),2017
Skromnoe puteshestvie (2010),2010
Skrytye litsa (2013),2013
Skupoi rytsar (1910),1910
Skyforge (2015) (VG),2015
Slasher (2014/IV),2014
"Slava - nam, smert' - vragam (1914)",1914
"Slava bogu, ne v Amerike (1992)",1992
Sledgehammer (2008) (VG),2008
Sledstvie vedut znatoki 23: Treteyskiy sudiya (2002) (TV),2002
Sledstvie vedyot Sutrapjan ili Neverojatnye priklyuchenija Shurochki (2008) (V),2008
Sleduyuschiy (2012) (V),2012
Sledy (2006),2006
Sledy na peske (2009),2009
Sledy na snegu (2014),2014
Sleepers Beat (2014),2014
Slender Man (2013),2013
Slender Man 2: Curse Book (2014),2014
Slender Man 3: Pandemonium. Chapter 1 (2015),2015
Slender Man 3: Pandemonium. Chapter 2. End of Story (2015),2015
Sliakot bulvarnaia (1918),1918
Slishkom mnogo zhenshchin (2004) (TV),2004
Slomannyy svet (1991),1991
Slon (2010),2010
Slonyonok-turist (1992),1992
Slova i muzyka (2004),2004
Slove (2011),2011
Slowly Up (2012),2012
Sluchay na bolote (1992) (TV),1992
Sluchaynye znakomye (2013),2013
Sluchaynyy poputchik (2006) (TV),2006
Sluga Gosudarev (2007),2007
Slushatel (2004),2004
Slushaya tishinu (2007),2007
Sluzhebnyy roman. Nashe vremya (2011),2011
Sluzhu Otechestvu! (2011) (TV),2011
Sluzhu Sovetskomu Soyuzu! (2012) (TV),2012
Slyozy (1914),1914
Smaragd (2015),2015
Smatyvay udochki (2004),2004
Smaylik (2014),2014
Smekh v temnote (2011),2011
Smekhovorot (2007),2007
Smelchak (1919),1919
Smert Ioanna Groznogo (1909),1909
Smert Ivana Rudskogo (2014) (V),2014
Smert Tairova (2004),2004
Smert po zaveshaniu (2006) (TV),2006
Smert shpionam. Skrytyy vrag (2013),2013
Smert v bare (2014),2014
Smert v pensne ili Nash Chekhov (2010),2010
Smert v pryamom efire (1995) (TV),1995
Smeshannye chuvstva (2014),2014
Smeshariki. Legenda o Zolotom Drakone (2016),2016
Smeshariki: Nachalo (2011),2011
Smesitel (2001),2001
Smiling-hurring-lives (2011),2011
Smirennaya zhizn (1997),1997
Smyslovye Gallyutsinatsii: Myslennyy volk (2014) (V),2014
Snake Tamers (2006) (V),2006
Snayper (1992),1992
Snayper Sakha (2010),2010
Snegir (2009),2009
Snegurochka (2014),2014
Snezhnaya koroleva (2007) (TV),2007
Snezhnaya koroleva (2012),2012
Snezhnaya koroleva 2. Perezamorozka (2014),2014
Snezhnaya koroleva 3. Ogon i led (2016),2016
Snezhnika (2013),2013
Snezhnost (2004) (V),2004
Snezhnyy angel (2008) (TV),2008
Snezhnyy chelovek (2008) (TV),2008
Snezhnyye zaychiki (2014),2014
Snokhach (1912),1912
Snova odin na vsekh (2014) (TV),2014
Snova zhzhet Novyy god 2012 (2011) (TV),2011
Snowbirds (2012),2012
Snowflake (2012),2012
Snowflake (2014) (TV),2014
Sny (1993),1993
"Sny mimoletnye, sny bezzabotnye snyatsya lish raz (1913)",1913
So mnoyu vot chto proiskhodit (2012),2012
So vechora dozhdik (2009),2009
Sobachiy ray (2014),2014
Sobaka Pavlova (2005),2005
Sobaka i analnyy seks (1998) (V),1998
Sobiratel pul (2011),2011
Sobstvennaya ten (2001),2001
"Sobyanin, ya lyublyu tebya (2013) (TV)",2013
Sobytie (2009),2009
Soccer Tactics (2013) (VG),2013
"Sochi, nadezhda i tomitelnoe ozhidanie (2014)",2014
Sochinenie ko Dnyu Pobedy (1998),1998
Sochinushki (2000),2000
Socrates of Kamchatka (2013),2013
Sofi (2014),2014
Sokrovishcha O.K. (2013),2013
Sokrovishche (2008) (TV),2008
Soldat i durochka (1997),1997
Soldat i ptitsa (2013),2013
Soldatskiy dekameron (2005),2005
Soldatskiy son (1995),1995
Soldiers of Fortune (2012),2012
Solnechnye berega Lety (2012),2012
Solnechnye dni (1994),1994
Solnechnyy udar (2003),2003
Solnechnyy udar (2014),2014
Solntse (2005),2005
"Solntse, Vozdukh I... Na-Na (1992)",1992
Solntsevorot (2012) (TV),2012
Solo Performance (2006) (V),2006
Solovey-Razboynik (2012),2012
Solyanka po-Piterski (2011),2011
Some Entropy In Your Tea (2013),2013
"Some in, Some Out (2015)",2015
Someone (2014),2014
Something About Dolphin (2003) (V),2003
Something in the Woods (2016) (V),2016
Somnambula (2013),2013
Somneniye (2012),2012
Son (2016) (V),2016
Son razuma (2010),2010
Son smeshnogo cheloveka (1992),1992
Son v nachale tumana (1994),1994
Songs of Abdul (2016),2016
Sonhos de Peixe (2006),2006
Sonka zolotaya ruchka (1914),1914
Sonnyy ad (2014) (VG),2014
Sonuncu (2014),2014
Soon on the Channel First (2016),2016
Sorceress (2017),2017
Soroka-vorovka (1920),1920
Sorvanets (1914),1914
Sosed (2004),2004
Sosed (2012),2012
Sosedi (2000),2000
Sosedka (2016),2016
Sota ilman voittoa (2009) (TV),2009
Sotvorenie Adama (1994),1994
Sound In the Wind (2016) (V),2016
Sounds (2012),2012
Sounds of the Soul (2014),2014
Sous Les Ailes De L'hippocampe (2014),2014
Sovetchiki (2014),2014
Sovremennitsa (2008) (TV),2008
Sovsem ne prostaya istoriya (2013),2013
Sovsem ryadom (2009),2009
Sovy nezhnye (2015),2015
Space (????),
Space Dogs: Adventure to the Moon (2016),2016
Spare (2013),2013
Spartacus (2008) (TV),2008
Spartak i Kalashnikov (2002),2002
Spartakiada. Lokalnoe poteplenie (2008),2008
Spasateli. Zatmeniye (2006) (TV),2006
Spasateli: Kriticheskaya massa (2000) (TV),2000
Spasenie (2015),2015
Spasibo (2012),2012
Spasitel (2013),2013
Spasyonnaya lyubov (2016) (TV),2016
Speechless: The Polar Realm (2015),2015
Spell (2011),2011
Speshite delat' dobro (1980) (TV),1980
"Spetsialnyy reportazh, ili Supermen etogo dnya (2002)",2002
Spicy Fried Eggs (2006) (V),2006
Spin (2013/I),2013
Spiny But Desired (2005) (V),2005
Spiny Pet (2006) (V),2006
Spiral (2014/II),2014
Spirit in Motion (2014),2014
Spirit in Motion (2015) (TV),2015
Spisok korabley (2008),2008
Spores (2011) (TV),2011
Sport bez granits (????),
Sport: It's Fashionable! (2014) (TV),2014
Spravka (2005),2005
Spring (2015),2015
Springtrap: Two Evil Eyes (2015) (TV),2015
Sprint (2015/I),2015
Sprint to the past (2013),2013
Sprosi menya (2014),2014
Spy Games Part 1 (2004) (V),2004
Spy Games Part 2 (2006) (V),2006
Spyashchiy i krasavitsa (2008) (TV),2008
Squirrels (????),
Sreda (1997),1997
"Sredniy rod, edinstvennoe chislo (2013) (TV)",2013
Srochno ishchu muzha (2011) (TV),2011
Srochno trebuetsya Ded Moroz (2007) (TV),2007
Srochno vyydu zamuzh (2015),2015
Srok (2014),2014
Stairway to Heaven (2012),2012
Stalin (1992) (TV),1992
Stalin vspomnil o vas (2009),2009
Stalingrad (2013),2013
Stalingrad 2016 (2016),2016
Stalker Blues (2003),2003
Stalnaya babochka (2012),2012
Stamp (2016),2016
Stan mnoy (2012) (TV),2012
Stand (2014/I),2014
Standing on Sacred Ground (2013),2013
Standing on Sacred Ground: Pilgrims and Tourists (2013),2013
Stantsionnyy smotritel (1918),1918
Star David (2016),2016
Staraya novaya Rossi (2008),2008
Staraya podruga (2006) (TV),2006
Starost (2015),2015
Stars (2011),2011
Starshaya zhena (2010),2010
Starshe na Igru (2014),2014
Startap (2014),2014
Starukhi (2003),2003
Starye klyachi (2000),2000
Starye pesni o glavnom (1996) (TV),1996
Starye pesni o glavnom 2 (1997) (TV),1997
Starye pesni o glavnom 3 (1998) (TV),1998
Starye pesni o glavnom. Postskriptum (2000) (TV),2000
Staryj Avtomobil (1992),1992
Station 88 (2019),2019
Statskiy sovetnik (2005),2005
Status: Svoboden (2016),2016
Stavka na lyubov (2016),2016
Steamship Dostoevsky ... And in the End I Need to Say... (2015),2015
Stemmen uit de Toendra - De laatste der Joekagiren (2012),2012
Stenka (2013),2013
Stenka Razin (1908),1908
Step bay step (2011),2011
Stepka (2016),2016
Steppe Shower (2005) (V),2005
Sterva (1992),1992
Sterva (2009) (TV),2009
Sterva dlya chempiona (2010),2010
Still Loving Her (2004),2004
Stilyagi (2008),2008
Sto dney do prikaza (1991),1991
Stolichnyy skoryy (2003),2003
Stories on Human Rights (2008),2008
Stradaniya yunogo Wertera (2004),2004
Strakh i trepet (2011),2011
Strana Oz (2015),2015
Strana chudes (2016),2016
Strana glukhikh (1998),1998
Strana khoroshikh detochek (2013),2013
Strana mukhomorov (2009),2009
Strana vstrechaet geroev (1992),1992
Stranger (2014/IV),2014
Strannik (2006),2006
Stranniy sluchay (2015) (V),2015
Strannoye vremya (1997),1997
Strannye chastitsy (2015),2015
Strannye muzhchiny Semyonovoy Ekateriny (1993),1993
Stranstvie (2012),2012
Strashnaya mest (1913),1913
Strasnie pokoynik (1912),1912
Strast (2009),2009
Strasti po Anzhelike (1993),1993
Strasti po Neronu (1994),1994
Strasti po Vladislavu (2012),2012
Strastnoy bulvar (1999),1999
Stravinsky et les Ballets Russes (2009) (V),2009
Strawberry Passion (2005) (V),2005
Strazh mertvetsa (2014),2014
Street (????) (V),
Street Poll (2012) (TV),2012
Strekoza i muravey (1913),1913
Strela lyubvi (2003),2003
Strelets neprikayannyy (1993),1993
Strelyayushchiye angely (1994),1994
Striptiz (2013),2013
Stritreysery (2008),2008
Stroll (2016),2016
Stsenary Odnogo Neschastia (2014),2014
Styd (2013),2013
Subhash Chandra Bose: The Mystery (2016) (TV),2016
Substance: Jam (2012),2012
Substance: Moloko (2013),2013
Such faces (2015),2015
Suck! Pt. 1 (2004) (V),2004
Sudba na zamenu (2013),2013
Sudya v lovushke (1998) (TV),1998
Sugar (2011/II),2011
Suitcase (2015/I),2015
Suka (2001),2001
Suka (2014),2014
Sukhodol (2011),2011
Suki (2004) (V),2004
Sumasshedshaya lyubov (1992),1992
Sumasshedshaya lyubov (2008) (TV),2008
Sumasshedshaya pomoshch (2009),2009
Sumerki (1917),1917
Sumerki (2008),2008
Sumerki zhenskoi dushi (1913),1913
"Summer Biathlon: Eras, Gods and Victories (2012)",2012
Summer Day (2012),2012
Summer Nights (2013),2013
Summer Snowball Fight (1904),1904
Sunduk predkov (2005),2005
Sunny Day (2010),2010
Sunrise/Sunset (2012),2012
Super-tyoshcha dlya neudachnika (2004) (TV),2004
Super-zhutiki (1995) (V),1995
SuperBobrovy (2016),2016
Superhero (2016/I),2016
Supermen ponevole ili eroticheskiy mutant (1993),1993
"Supermenedzher, ili Motyga sudby (2011)",2011
Superplokhie (2016),2016
Surogaty lyubvi (1918),1918
Surprise (2009/III),2009
Survivor (2017),2017
Sushnjakovo-2004 (2008),2008
Suspended Chronicles (2013) {{SUSPENDED}},2013
Suspended Chronicles (????) {{SUSPENDED}},
Suspens. Sever-yug (1995),1995
Suzeniy-Ryazeniy (2007) (TV),2007
Svadba (2000),2000
Svadba (2008) (TV),2008
Svadba Krechinskogo (1908),1908
Svadba po obmenu (2011),2011
Svadba tishiny (2004),2004
Sverchok (1994),1994
Sverchok na pechi (1915),1915
Sverchok za ochagom (2001),2001
Sverkhsekretnye faily. Pikovaya dama. Glava 1 (2016) (V),2016
Svet nizhnikh kvartalov (2018),2018
Svetlana About Svetlana (2008),2008
Svidanie (2012),2012
Svidanie v teatre pepla (2000),2000
Svidetelnitsa (2012) (TV),2012
Sving (????),
Svistun (1998),1998
Svita (2015) (V),2015
Svoboda po russki (2006),2006
Svoboda vybora (2011),2011
Svobodnaya ot muzhchin (1992),1992
Svobodnoe plavanie (2006),2006
Svoi (2004),2004
Svoi deti (2007) (TV),2007
Svolochi (2006),2006
Svoy ostrov (2006),2006
Svoy-chuzhoy (2008),2008
Svoya Zhizn (2014),2014
Svoya chuzhaya zhizn (2005) (TV),2005
Svoyaki (1978),1978
Svoyasi (2014),2014
Svyato (2005),2005
Svyatoe delo (2007),2007
Svyatoy i greshnyy (1999) (TV),1999
Svyaz (2006),2006
Svyaz (2012),2012
Svyaz vremyon (2010),2010
Swan Lake (2007) (V),2007
Swan Lake 3D - Live from the Mariinsky Theatre (2013),2013
Swan Lake in Bronze (2013),2013
Swan Lake: Kirov/Yelena Yevteyeva/John Markovsky (2003),2003
Swan Song (2015/II),2015
Sweet Carrot (2006) (V),2006
Sweet Fingers (2005) (V),2005
Sweet Smoke of the Fatherland (2012),2012
Sweety (2005) (V),2005
Swimmers (2015),2015
Swinishness (2014),2014
Switchcraft (1994),1994
Syberiada polska (2013),2013
Symmetricity (2014),2014
Symphony (2017),2017
Syn (2004/I),2004
Syn (2014),2014
Syn Kapitana (2014),2014
Syn strany gde tsarstvo mraka (1915),1915
Syn za ottsa... (1995),1995
Synok (2010),2010
Syostry (2001),2001
Syostry (2005),2005
Syshchik Peterburgskoy politsii (1991),1991
Sysknoe byuro 'Feliks' (1993),1993
T.A.T.U. Screaming for More (2004) (V),2004
T.A.T.U: The Video Collection (2002) (V),2002
T.RU Story (2009),2009
Tachal (????),
Tagikaks (2012),2012
Taina Smerti Stalina. Polslednyaya Zagadka (2006) (TV),2006
Tak byvaet (2007) (TV),2007
Tak ne byvaet (1995),1995
Tak ne byvaet (2013),2013
Tak pakhnet lyubov (2012),2012
Taking the Stand: We Have More to Say (2016),2016
Taksi smerti (2013),2013
Talismi Jazeera (1992),1992
Talyn naadan (2014),2014
"Tam, gde svet (2003)",2003
Tamara (2015),2015
Tanets Deli (2012),2012
Tanets dyavola (1992),1992
Tanets orla (2014),2014
Tanets s vampirom (1914),1914
Tango na Dvortsovoy ploshchadi (1993),1993
Tango na dva golosa (2000),2000
Tango nad propastyu (1997),1997
Tanker 'Tango' (2006),2006
Tantric Flower Massage (2005) (V),2005
Tantsuy so mnoy (2016),2016
Tantsuy... (2007) (TV),2007
Tantsuyushchiye prizraki (1992),1992
Tantsy nasmert (2016),2016
Tanya Number 5 (2014),2014
Tanzonk (2016),2016
Tarakan'i bega (1993),1993
Tarantella (2008),2008
Taras Bulba (1909),1909
Taras Bulba (2009),2009
Tarif Novogodniy (2008),2008
Tarif na proshloe (2013) (TV),2013
Tarif na spasenie (2014),2014
Tarkovsky's River (2010) (V),2010
Tarkovsky: Time Within Time (2015),2015
Tarro (2013),2013
Tartaren iz Taraskona (2003) (TV),2003
Tartyuf (1992) (TV),1992
Tatarskaya knyazhna (2009),2009
Tatsu (1994),1994
Tayna (1992),1992
Tayna (1996) (TV),1996
Tayna (2011),2011
Tayna Arkaima (2007),2007
Tayna Chingis Khaana (2009),2009
Tayna Goluboy doliny (2004),2004
Tayna Marchello (1997),1997
Tayna Slendermena (2013),2013
Tayna Slendermena 2 (2014),2014
Tayna Sukharevoy bashni. Charodey ravnovesiya (2015),2015
Tayna Zaborskogo omuta (2003),2003
Tayna korolevy (1919),1919
Tayna korolevy Anny ili mushketyory 30 let spustya (1993),1993
Tayna krasnoy shkatulki (2004) (TV),2004
Tayna phantomnogo mira (2016) (V),2016
Tayna snezhnoy korolevy (2015),2015
Tayna starika Timofeya (2014),2014
Tayna tyomnoy komnaty (2014),2014
Tayna volchyey pasti (2004),2004
Taynoye svidaniye (2001),2001
Tayny lyubvi (2009),2009
Tayny smerti (2009),2009
Taynyy les (2015),2015
Tbilisis botanikuri bagi (1910),1910
Tchaikovsky - An Elegy (2011),2011
Teacherday (2005),2005
Teaching Shower Games (2004) (V),2004
Teatr Luny ili Kosmicheskaya durochka (2007),2007
Teatr imeni menya (1994) (TV),1994
Teatralnyy roman (2003) (TV),2003
"Tebe, nastoyashchemu (2004)",2004
"Tebe, ne znavshemu meniya (2005) (TV)",2005
Techet reka Volga (2009) (TV),2009
Teekond Ussinuumajani (2015),2015
Teen Love (2004) (V),2004
Tekbetek (2014),2014
Tekst ili apologiya komentariya (2001),2001
Telefonnaya kamasutra (2012),2012
Telephonnyi maniac (2016) (V),2016
Telets (2001),2001
Teli i Toli (2016),2016
"Telo budet predano zemle, a starshiy michman budet pet (1998)",1998
Telokhranitelnitsa (2008) (TV),2008
Temnye vody (1993),1993
Temnyy mir (2010),2010
Temnyy mir: Ravnovesie (2013),2013
Tempting Trio (2006) (V),2006
Ten (2016),2016
Ten voyny (2014),2014
Tender Katia Washing (2005) (V),2005
Tender Touches (????) (V),
Tender Waves (2003) (V),2003
Teni grekha (1915),1915
Teni liubvi (1917),1917
Tenkorr: Sex Police (2008),2008
Teoriya zapoya (2003),2003
Teplo (2007),2007
Tequila (2011/I),2011
Teremok (1995) (TV),1995
Terraqueos: Vestgios de uma Era Digital (2014),2014
Territoire de la libert (2014),2014
Territories (2008),2008
Territoriya (1993) (TV),1993
Territoriya (2015),2015
Territoriya Dzha (2014),2014
Territory of Ghosts (2016),2016
Terror lyubovyu (2009) (TV),2009
Terrorize the Town (2015) (V),2015
Tertium non datur (2010),2010
Testo (2011),2011
Testy dlya nastoyashchikh muzhchin (1999),1999
Tetrad iz Sojenovo Ghetto (2011),2011
Thank You (2012/II),2012
That is not me (2015),2015
The 2007 Academy Award Nominated Short Films: Animation (2008),2008
The Abode of Darkness (2006),2006
The Adventure Failed: Thanks for Trying (2008) (TV),2008
The Adventures of Cheburashka and Friends (2007),2007
The Age of Decadence (2015) (VG),2015
The Age of Kommunalki (2013),2013
The Anthropologist (2015),2015
The Apples (2014),2014
The Arena (2001/I),2001
The Art of Observing Life (2013),2013
The Art of Time (2009),2009
The Awakening (2015/III),2015
The Beard (2015),2015
The Beginning (2016/II),2016
The Bell's Breath (1998),1998
The Bet (2014/II),2014
The Big Feeling (2012),2012
The Birdie (2015) (TV),2015
The Bladed Hand (A Documentary on the Global Impact of the Filipino Martial Arts) (2013),2013
The Blue Noses. From Siberia with Love (2016),2016
The Body Tree (2016),2016
The Book Malgil (2013),2013
The Bridge (2015/IV),2015
The Broken Card (????),
The Burning Land (2003),2003
The Bus (2016),2016
The Buzzing (2012),2012
The Calling (2016/III),2016
The Car (2011) (V),2011
The Car (2016/I),2016
The Caste (2016) (TV),2016
The Castle (2016),2016
The Cat Lady (????),
The Catfish and the Moon (2013),2013
